policy,n,Q_star,T_star,B_star,x_star,G_star,demand,cost,emissions,psi_star
cap_and_trade,3.0551724137931036,807.3540505634771,2.691180168544924,235.97592379456228,0.29228307411087795,1.0,300.0,17.045051331491095,7.532667039987373,nan
strict_cap,3.0551724137931036,790.1972499508544,2.6339908331695145,224.18527338656878,0.2837079898727967,0.46343187948208353,300.0,17.188274000507413,9.999999999939153,0.39423344948284694
tax,3.217241379310345,801.5654733034897,2.6718849110116323,233.63558752963345,0.2914741157285028,1.0,300.0,22.206057052727804,7.62306208324641,nan
cap_and_trade,3.217241379310345,801.5654733034897,2.6718849110116323,233.63558752963345,0.2914741157285028,1.0,300.0,17.206057052727804,7.62306208324641,nan
strict_cap,3.217241379310345,785.1359585231407,2.6171198617438023,222.22177177538816,0.2830360389981279,0.4861714195473845,300.0,17.338928564493372,10.00000000573377,0.397799598499254
tax,3.3793103448275863,795.8175219221772,2.652725073073924,231.2083107015966,0.29052930393282594,1.0,300.0,22.368250420678976,7.722045218423073,nan
cap_and_trade,3.3793103448275863,795.8175219221772,2.652725073073924,231.2083107015966,0.29052930393282594,1.0,300.0,17.368250420678976,7.722045218423073,nan
strict_cap,3.3793103448275863,780.194177209651,2.6006472573655035,220.2123127023245,0.28225321225788874,0.5110321307149253,300.0,17.49017864622713,10.000000000000194,0.40177296474592
tax,3.5413793103448277,790.1802460459371,2.633934153486457,228.7176888933406,0.2894500211032156,1.0,300.0,22.529612740348902,7.8289729251955915,nan
cap_and_trade,3.5413793103448277,790.1802460459371,2.633934153486457,228.7176888933406,0.2894500211032156,1.0,300.0,17.529612740348902,7.8289729251955915,nan
strict_cap,3.5413793103448277,775.4319397394898,2.5847731324649663,218.17883861897036,0.28136426607893994,0.5377563942676056,300.0,17.640204378470933,10.000000000211692,0.406133656991486
tax,3.703448275862069,784.7075507301552,2.615691835767184,226.18099122206007,0.28823603266159864,1.0,300.0,22.68848196471582,7.943391781966344,nan
cap_and_trade,3.703448275862069,784.7075507301552,2.615691835767184,226.18099122206007,0.28823603266159864,1.0,300.0,17.68848196471582,7.943391781966344,nan
strict_cap,3.703448275862069,770.8941535146316,2.5696471783821053,216.1378619736527,0.28037294223629156,0.5661216682134045,300.0,17.787523711205832,10.000000006160905,0.4108668814459378
tax,3.8655172413793104,779.440648612998,2.5981354953766598,223.61042759971687,0.28688576609088584,1.0,300.0,22.843483810512915,8.06500499364759,nan
cap_and_trade,3.8655172413793104,779.440648612998,2.5981354953766598,223.61042759971687,0.28688576609088584,1.0,300.0,17.843483810512915,8.06500499364759,nan
strict_cap,3.8655172413793104,766.6138200399256,2.555379400133085,214.1015998809537,0.2792822073959001,0.5959329644513853,300.0,17.930928481561352,10.00000005999661,0.4159617786081399
tax,4.027586206896552,774.410861350702,2.5813695378356734,221.01418550762614,0.285396546636937,1.0,300.0,22.9934756514197,8.19364337857128,nan
cap_and_trade,4.027586206896552,774.410861350702,2.5813695378356734,221.01418550762614,0.285396546636937,1.0,300.0,17.9934756514197,8.19364337857128,nan
strict_cap,4.027586206896552,762.6146203326864,2.542048734442288,212.07889169240056,0.2780944477564334,0.6270165609883258,300.0,18.069432822458232,9.999999999937888,0.42141044204526384
tax,4.189655172413794,769.6418718209519,2.56547290606984,218.39728204744975,0.2837648132770215,1.0,300.0,23.13750093912183,8.329238932160333,nan
cap_and_trade,4.189655172413794,769.6418718209519,2.56547290606984,218.39728204744975,0.2837648132770215,1.0,300.0,18.13750093912183,8.329238932160333,nan
strict_cap,4.189655172413794,758.9129623755247,2.529709874585082,210.07593180389833,0.27681162691743394,0.6592145112856969,300.0,18.20223119946046,9.999999999956213,0.4272070229507697
tax,4.3517241379310345,765.1515196620301,2.5505050655401003,215.76227279305965,0.2819863350573525,1.0,300.0,23.27475233657075,8.471799278440278,nan
